filename,class,width,height,xmin,ymin,xmax,ymax
MVI_1521_NIR_frame0.jpg,3,75.0382328,23.01000041,196.3316664,139.0744161,271.3698992,162.0844165
MVI_1521_NIR_frame0.jpg,3,19.54276774,17.12829227,282.8668224,146.6816058,302.4095902,163.809898
MVI_1521_NIR_frame0.jpg,3,59.06226816,16.39800548,473.8371678,145.7806266,532.899436,162.1786321
MVI_1521_NIR_frame0.jpg,3,46.49107901,38.86179772,567.5227273,123.4401286,614.0138063,162.3019263
MVI_1521_NIR_frame0.jpg,3,40.78711317,37.51547312,879.0890551,122.2126168,919.8761682,159.7280899
MVI_1521_NIR_frame5.jpg,3,75.0382328,23.01000041,195.6834071,140.3709347,270.7216399,163.3809351
MVI_1521_NIR_frame5.jpg,3,19.54276774,17.12829227,282.8668224,146.6816058,302.4095902,163.809898
MVI_1521_NIR_frame5.jpg,3,59.06226816,16.39800548,471.8923899,146.4288859,530.9546581,162.8268914
MVI_1521_NIR_frame5.jpg,3,46.49107901,38.86179772,565.5779494,124.7366472,612.0690284,163.5984449
MVI_1521_NIR_frame5.jpg,3,40.78711317,37.51547312,878.4407957,122.2126168,919.2279089,159.7280899
MVI_1521_NIR_frame10.jpg,3,75.0382328,23.01000041,195.6834071,140.3709347,270.7216399,163.3809351
MVI_1521_NIR_frame10.jpg,3,19.54276774,17.12829227,280.9220445,146.6816058,300.4648123,163.809898
MVI_1521_NIR_frame10.jpg,3,59.06226816,16.39800548,470.5958713,146.4288859,529.6581395,162.8268914
MVI_1521_NIR_frame10.jpg,3,46.49107901,38.86179772,565.5779494,124.7366472,612.0690284,163.5984449
MVI_1521_NIR_frame10.jpg,3,40.78711317,37.51547312,877.7925364,122.2126168,918.5796496,159.7280899
MVI_1521_NIR_frame15.jpg,3,75.0382328,23.01000041,195.6834071,140.3709347,270.7216399,163.3809351
MVI_1521_NIR_frame15.jpg,3,19.54276774,17.12829227,280.9220445,146.6816058,300.4648123,163.809898
MVI_1521_NIR_frame15.jpg,3,59.06226816,16.39800548,471.8923899,146.4288859,530.9546581,162.8268914
MVI_1521_NIR_frame15.jpg,3,46.49107901,38.86179772,565.5779494,124.7366472,612.0690284,163.5984449
MVI_1521_NIR_frame15.jpg,3,40.78711317,37.51547312,877.7925364,122.2126168,918.5796496,159.7280899
MVI_1521_NIR_frame20.jpg,3,75.0382328,23.01000041,196.9799257,140.3709347,272.0181585,163.3809351
MVI_1521_NIR_frame20.jpg,3,19.54276774,17.12829227,282.2185631,146.6816058,301.7613309,163.809898
MVI_1521_NIR_frame20.jpg,3,59.06226816,16.39800548,471.8923899,146.4288859,530.9546581,162.8268914
MVI_1521_NIR_frame20.jpg,3,46.49107901,38.86179772,565.5779494,124.7366472,612.0690284,163.5984449
MVI_1521_NIR_frame20.jpg,3,40.78711317,37.51547312,878.4407957,122.2126168,919.2279089,159.7280899
MVI_1521_NIR_frame25.jpg,3,75.0382328,23.01000041,196.9799257,140.3709347,272.0181585,163.3809351
MVI_1521_NIR_frame25.jpg,3,19.54276774,17.12829227,282.2185631,146.6816058,301.7613309,163.809898
MVI_1521_NIR_frame25.jpg,3,59.06226816,16.39800548,471.8923899,146.4288859,530.9546581,162.8268914
MVI_1521_NIR_frame25.jpg,3,46.49107901,38.86179772,565.5779494,124.7366472,612.0690284,163.5984449
MVI_1521_NIR_frame25.jpg,3,40.78711317,37.51547312,879.0890551,123.5091354,919.8761682,161.0246086
MVI_1521_NIR_frame30.jpg,3,75.0382328,23.01000041,196.9799257,140.3709347,272.0181585,163.3809351
MVI_1521_NIR_frame30.jpg,3,19.54276774,17.12829227,282.2185631,146.6816058,301.7613309,163.809898
MVI_1521_NIR_frame30.jpg,3,59.06226816,16.39800548,473.1889085,146.4288859,532.2511767,162.8268914
MVI_1521_NIR_frame30.jpg,3,46.49107901,38.86179772,566.874468,124.7366472,613.365547,163.5984449
MVI_1521_NIR_frame30.jpg,3,40.78711317,37.51547312,879.7373144,123.5091354,920.5244275,161.0246086
MVI_1521_NIR_frame35.jpg,3,75.0382328,23.01000041,196.9799257,140.3709347,272.0181585,163.3809351
MVI_1521_NIR_frame35.jpg,3,19.54276774,17.12829227,282.2185631,146.6816058,301.7613309,163.809898
